date,home_team,away_team,actual_score,actual_outcome,predicted_outcome,outcome_hit,home_win_prob,draw_prob,away_win_prob,actual_outcome_prob,most_likely_score,score_hit,actual_score_prob,expected_home_goals,expected_away_goals
2026-06-13,Qatar,Switzerland,1-1,draw,away_win,False,0.08053045803254674,0.16988793723813495,0.7495816047293185,0.16988793723813495,0-2,False,0.07842365019060742,0.5609378665154233,2.1908599197700838
2026-06-13,Brazil,Morocco,1-1,draw,home_win,False,0.44503634603697834,0.28224152792718066,0.272722126035841,0.28224152792718066,1-0,False,0.13028830189631163,1.2956322320202598,0.9485224733207823
2026-06-13,Haiti,Scotland,0-1,away_win,away_win,True,0.2347238659578349,0.27261534854656627,0.4926607854955989,0.4926607854955989,0-1,True,0.14364763671772093,0.8760649944907452,1.4027912277722736
2026-06-13,Australia,Turkey,2-0,home_win,away_win,False,0.2865859136025818,0.2847156473425483,0.42869843905486993,0.2865859136025818,0-1,False,0.050840324626952677,0.9750702750445176,1.2603566334476501
2026-06-14,Germany,Curaçao,7-1,home_win,home_win,True,0.7656845030529923,0.1610089216100796,0.07330657533692783,0.7656845030529923,2-0,False,0.0019767107731837354,2.2622462094451627,0.5432371967732861
2026-06-14,Ivory Coast,Ecuador,1-0,home_win,away_win,False,0.16087228716041263,0.2392864071587413,0.5998413056808459,0.16087228716041263,0-1,False,0.06590635897156225,0.7332535091059761,1.6760046477355026
2026-06-14,Netherlands,Japan,2-2,draw,home_win,False,0.37578341903166745,0.28952907762338304,0.33468750334494934,0.28952907762338304,1-1,False,0.04106256490571761,1.1503074726852318,1.0683546081476831
2026-06-14,Sweden,Tunisia,5-1,home_win,away_win,False,0.34696416808122404,0.289899855988856,0.36313597592992,0.34696416808122404,1-1,False,0.001589115826323942,1.0925745311612562,1.1248077400484455
2026-06-15,Belgium,Egypt,1-1,draw,home_win,False,0.5404905045174678,0.25961466198098093,0.19989483350155124,0.25961466198098093,1-0,False,0.11984329062169001,1.5183084123271604,0.8094114998324695
2026-06-15,Iran,New Zealand,2-2,draw,home_win,False,0.5252714260882771,0.2640939723577281,0.21063460155399477,0.2640939723577281,1-0,False,0.03745522201142877,1.4805712894730556,0.8300419560799186
2026-06-15,Spain,Cape Verde,0-0,draw,home_win,False,0.9010610249549998,0.07595482225783329,0.022984152787167006,0.07595482225783329,3-0,False,0.02853057289109084,3.1695008465726464,0.38773811673181857
2026-06-15,Saudi Arabia,Uruguay,1-1,draw,away_win,False,0.12680506219001775,0.21530454866432752,0.6578903891456548,0.21530454866432752,0-1,False,0.09938886117164324,0.663966091233253,1.8509021853018908
2026-06-16,France,Senegal,3-1,home_win,home_win,True,0.58242630337605,0.24570778863645792,0.17186590798749207,0.58242630337605,1-0,False,0.05009133360605883,1.627815599544476,0.7549603834573677
2026-06-16,Iraq,Norway,1-4,away_win,away_win,True,0.17452832233885754,0.2471765943143688,0.5782950833467737,0.5782950833467737,0-1,False,0.020087009982138183,0.7601823947048998,1.6166334524322303
2026-06-16,Argentina,Algeria,3-0,home_win,home_win,True,0.6420905279447441,0.2222138216645819,0.135695650390674,0.6420905279447441,1-0,False,0.08124937420623378,1.8008672021565955,0.6824136103752083
2026-06-16,Austria,Jordan,3-1,home_win,home_win,True,0.5011362134874858,0.27054557962601494,0.22831820688649931,0.5011362134874858,1-0,False,0.04212662066916886,1.4226283544166876,0.8638491461347798
2026-06-17,Portugal,DR Congo,1-1,draw,home_win,False,0.6585474057728147,0.2150112068446833,0.12644138738250202,0.2150112068446833,1-0,False,0.09925344875435192,1.8530269377656448,0.6632047619943494
2026-06-17,Uzbekistan,Colombia,1-3,away_win,away_win,True,0.16024239489264447,0.238900547412001,0.6008570576953545,0.6008570576953545,0-1,False,0.05180653149661652,0.7320020750303697,1.6788699529014255
2026-06-17,England,Croatia,4-2,home_win,home_win,True,0.4901565768380095,0.2732069442676257,0.23663647889436484,0.4901565768380095,1-0,False,0.006301492116181769,1.396977821900546,0.8797106653834003
2026-06-17,Ghana,Panama,1-0,home_win,away_win,False,0.16967379817109995,0.24447366388708214,0.5858525379418179,0.16967379817109995,0-1,False,0.06893271730560664,0.7506511888486607,1.637160251640858
2026-06-18,Czech Republic,South Africa,1-1,draw,home_win,False,0.48820303381757535,0.27366207319135877,0.23813489299106588,0.27366207319135877,1-0,False,0.12632785498073623,1.3924575729451625,0.88256641574413
2026-06-18,Mexico,South Korea,1-0,home_win,home_win,True,0.5309676939603546,0.2475784599161067,0.2214538461235387,0.5309676939603546,1-0,True,0.12312870345933791,1.6258661842568143,0.9547008276649751
2026-06-18,Switzerland,Bosnia and Herzegovina,4-1,home_win,home_win,True,0.6458757633571669,0.22058402997774543,0.1335402066650879,0.6458757633571669,1-0,False,0.025270046906917348,1.8126734395473123,0.6779689393677499
2026-06-18,Canada,Qatar,6-0,home_win,home_win,True,0.7236561114118132,0.1752188039641942,0.10112508462399261,0.7236561114118132,2-0,False,0.009162449643618968,2.2303188544486403,0.6959613817936363
2026-06-19,Scotland,Morocco,0-1,away_win,away_win,True,0.2228434823482339,0.26866625228365915,0.5084902653681069,0.5084902653681069,0-1,True,0.14532680720399463,0.8533985373369003,1.4400496783893941
2026-06-19,Brazil,Haiti,3-0,home_win,home_win,True,0.7583224628550226,0.16510100774240594,0.07657652940257159,0.7583224628550226,2-0,False,0.1144766936615511,2.229056898906218,0.5513256704362337
2026-06-19,United States,Australia,2-0,home_win,home_win,True,0.36943697157986977,0.2705498207307069,0.36001320768942346,0.36943697157986977,1-1,False,0.06525493745147676,1.2557906233851672,1.236046648921658
2026-06-19,Turkey,Paraguay,0-1,away_win,home_win,False,0.3917379109969823,0.2886173934404648,0.3196446955625529,0.3196446955625529,1-1,False,0.11263302863557935,1.1828815208161045,1.0389343882742403
